Atomic Number,Element Name,Symbol,Atomic Weight,Period,Group,STP,Melting Point,Boiling Point,Density,Electronegativity,First Ionization Energy,Atomic Radius,Number of Protons,Number of Neutrons,Number of Electrons,Classification
1,H,Hydrogen,1.00797,1,1,gas,-259.14,-252.87,88,2.2,1312,25,1,0,1,NonMetal
2,He,Helium,4.0026,1,18,gas,N/A,â€‘268.93,214,N/A,2372.32,31,2,2,2,NonMetal
3,Li,Lithium,6.941,2,1,solid,180.54,1342,535,0.98,520.2,145,3,4,3,Alkali Metal
4,Be,Beryllium,9.01218,2,2,solid,1287,2470,1848,1.57,899.5,105,4,5,4,Alkaline Earth Metal
5,B,Boron,10.81,2,13,solid,2075,4000,2460,2.04,800.6,85,5,6,5,Metalloid
6,C,Carbon,12.011,2,14,solid,3642,3642,2260,2.55,1086.5,70,6,6,6,NonMetal
7,N,Nitrogen,14.0067,2,15,gas,-210.1,-195.8,1.251,3.04,1402.3,65,7,7,7,NonMetal
8,O,Oxygen,15.9994,2,16,gas,-218,-183,1.429,3.44,1313.9,60,8,8,8,NonMetal
9,F,Fluorine,18.998403,2,17,gas,-220,-188.1,1.696,3.98,1681,50,9,10,9,NonMetal 
10,Ne,Neon,20.179,2,18,gas,-248.6,-246.1,0.9,N/A,2080.7,N/A,10,10,10,Noble Gas
11,Na,Sodium,22.98977,3,1,solid,97.72,882.9,968,0.93,495.8,180,11,12,11,Alkali Metal 
12,Mg,Magnesium,24.305,3,2,solid,650,1090,1738,1.31,737.7,150,12,12,12,Alkaline Earth Metal
13,Al,Aluminum,26.98154,3,13,solid,660.32,2519,2700,1.61,577.5,125,13,14,13,Post-transition Metal
14,Si,Silicon,28.0855,3,14,solid,1414,2900,2330,1.9,786.5,110,14,14,14,Metalloid
15,P,Phosphorus,30.97376,3,15,solid,44.15,280.5,1823,2.19,1011.8,100,15,16,15,NonMetal
16,S,Sulfur,32.06,3,16,solid,115.21,44.72,1960,2.58,999.6,100,16,16,16,NonMetal
17,Cl,Chlorine,35.453,3,17,gas,-101.5,-34.04,3.214,3.16,1251.2,100,17,18,17,NonMetal 
19,K,Potassium,39.0983,3,18,gas,-189,-186,1.784,N/A,1520.6,71,18,22,18,Noble Gas
18,Ar,Argon,39.948,4,1,solid,63.38,758.9,856,0.82,418.8,220,19,20,19,Alkali Metal
20,Ca,Calcium,40.08,4,2,solid,841.9,1484,1550,1,589.8,180,20,20,20,Alkaline Earth Metal
21,Sc,Scandium,44.9559,4,3,solid,1541,2830,2985,1.36,633.1,160,21,24,21,Transition Metal
22,Ti,Titanium,47.9,4,4,solid,1668,3287,4507,1.54,658.8,140,22,22,22,Transition Metal
23,V,Vanadium,50.9415,4,5,solid,1910,3407,6110,1.63,650.9,135,23,28,23,Transition Metal
24,Cr,Chromium,51.996,4,6,solid,1907,2671,7190,1.66,652.9,140,24,28,24,Transition Metal
25,Mn,Manganese,54.938,4,7,solid,1246,2061,7470,1.55,717.3,140,25,30,25,Transition Metal
26,Fe,Iron,55.847,4,8,solid,1538,2861,7874,1.83,762.5,140,26,30,26,Transition Metal
28,Ni,Nickel,58.7,4,9,solid,1495,2900,8900,1.88,760.4,135,27,32,27,Transition Metal
27,Co,Cobalt,58.9332,4,10,solid,,,,,,,28,31,28,Transition Metal
29,Cu,Copper,63.546,4,11,solid,,,,,,,29,35,29,Transition Metal
30,Zn,Zinc,65.38,4,12,solid,,,,,,,30,30,30,Transition Metal
31,Ga,Gallium,69.72,4,13,solid,,,,,,,31,39,31,Post-transition Metal 
32,Ge,Germanium,72.59,4,14,solid,,,,,,,32,41,32,Metalloid
33,As,Arsenic,74.9216,4,15,solid,,,,,,,33,42,33,Metalloid 
34,Se,Selenium,78.96,4,16,solid,,,,,,,34,45,34,NonMetal 
35,Br,Bromine,79.904,4,17,liquid,,,,,,,35,45,35,NonMetal
36,Kr,Krypton,83.8,4,18,gas,,,,,,,36,48,36,Noble Gas
37,Rb,Rubidium,85.4678,5,1,solid,,,,,,,37,48,37,Alkali Metal 
38,Sr,Strontium,87.62,5,2,solid,,,,,,,38,50,38,Alkaline Earth Metal 
39,Y,Yttrium,88.9059,5,3,solid,,,,,,,39,50,39,Transition Metal
40,Zr,Zirconium,91.22,5,4,solid,,,,,,,40,51,40,Transition Metal
41,Nb,Niobium,92.9064,5,5,solid,,,,,,,41,52,41,Transition Metal
42,Mo,Molybdenum,95.94,5,6,solid,,,,,,,42,54,42,Transition Metal
43,Tc,Technetium,-98,5,7,solid,,,,,,,43,55,43,Transition Metal
44,Ru,Ruthenium,101.07,5,8,solid,,,,,,,44,57,44,Transition Metal
45,Rh,Rhodium,102.9055,5,9,solid,,,,,,,45,58,45,Transition Metal
46,Pd,Palladium,106.4,5,10,solid,,,,,,,46,60,46,Transition Metal
47,Ag,Silver,107.868,5,11,solid,,,,,,,47,61,47,Transition Metal
48,Cd,Cadmium,112.41,5,12,solid,,,,,,,48,64,48,Transition Metal
49,In,Indium,114.82,5,13,solid,,,,,,,49,66,49,Post-transition Metal 
50,Sn,Tin,118.69,5,14,solid,,,,,,,50,69,50,Post-transition Metal 
51,Sb,Antimony,121.75,5,15,solid,,,,,,,51,71,51,Metalloid 
53,I,Iodine,126.9045,5,16,solid,,,,,,,52,76,52,Metalloid 
52,Te,Tellurium,127.6,5,17,solid,,,,,,,53,74,53,NonMetal 
54,Xe,Xenon,131.3,5,18,gas,,,,,,,54,77,54,Noble Gas
55,Cs,Cesium,132.9054,6,1,solid,,,,,,,55,78,55,Alkali Metal
56,Ba,Barium,137.33,6,2,solid,,,,,,,56,81,56,Alkaline Earth Metal 
57,La,Lanthanum,138.9055,6,3,solid,,,,,,,57,82,57,Lanthanide
58,Ce,Cerium,140.12,6,3,solid,,,,,,,58,82,58,Lanthanide
59,Pr,Praseodymium,140.9077,6,3,solid,,,,,,,59,82,59,Lanthanide
60,Nd,Neodymium,144.24,6,3,solid,,,,,,,60,84,60,Lanthanide
61,Pm,Promethium,-145,6,3,solid,,,,,,,61,84,61,Lanthanide
62,Sm,Samarium,150.4,6,3,solid,,,,,,,62,88,62,Lanthanide
63,Eu,Europium,151.96,6,3,solid,,,,,,,63,89,63,Lanthanide
64,Gd,Gadolinium,157.25,6,3,solid,,,,,,,64,93,64,Lanthanide
65,Tb,Terbium,158.9254,6,3,solid,,,,,,,65,94,65,Lanthanide
66,Dy,Dysprosium,162.5,6,3,solid,,,,,,,66,97,66,Lanthanide
67,Ho,Holmium,164.9304,6,3,solid,,,,,,,67,98,67,Lanthanide
68,Er,Erbium,167.26,6,3,solid,,,,,,,68,99,68,Lanthanide
69,Tm,Thulium,168.9342,6,3,solid,,,,,,,69,100,69,Lanthanide
70,Yb,Ytterbium,173.04,6,3,solid,,,,,,,70,103,70,Lanthanide
71,Lu,Lutetium,174.967,6,3,solid,,,,,,,71,104,71,Lanthanide
72,Hf,Hafnium,178.49,6,3,solid,,,,,,,72,106,72,Transition Metal
73,Ta,Tantalum,180.9479,6,3,solid,,,,,,,73,108,73,Transition Metal
74,W,Tungsten,183.85,6,3,solid,,,,,,,74,110,74,Transition Metal
75,Re,Rhenium,186.207,6,3,solid,,,,,,,75,111,75,Transition Metal
76,Os,Osmium,190.2,6,3,solid,,,,,,,76,114,76,Transition Metal
77,Ir,Iridium,192.22,6,3,solid,,,,,,,77,115,77,Transition Metal
78,Pt,Platinum,195.09,6,3,solid,,,,,,,78,117,78,Transition Metal
79,Au,Gold,196.9665,6,3,liquid,,,,,,,79,118,79,Transition Metal
80,Hg,Mercury,200.59,6,3,solid,,,,,,,80,121,80,Transition Metal
81,Tl,Thallium,204.37,6,3,solid,,,,,,,81,123,81,Post-transition Metal 
82,Pb,Lead,207.2,6,3,solid,,,,,,,82,125,82,Post-transition Metal 
83,Bi,Bismuth,208.9804,6,3,solid,,,,,,,83,126,83,Post-transition Metal 
84,Po,Polonium,-209,6,3,solid,,,,,,,84,125,84,Post-transition Metal 
85,At,Astatine,-210,6,3,solid,,,,,,,85,125,85,Post-transition Metal 
86,Rn,Radon,-222,6,3,gas,,,,,,,86,136,86,Noble Gas
87,Fr,Francium,-223,7,3,solid,,,,,,,87,136,87,Alkali Metal 
88,Ra,Radium,226.0254,7,3,solid,,,,,,,88,138,88,Alkaline Earth Metal 
89,Ac,Actinium,227.0278,7,3,solid,,,,,,,89,138,89,Actinide
91,Pa,Protactinium,231.0359,7,3,solid,,,,,,,90,142,90,Actinide
90,Th,Thorium,232.0381,7,3,solid,,,,,,,91,148,91,Actinide
93,Np,Neptunium,237.0482,7,3,solid,,,,,,,92,146,92,Actinide
92,U,Uranium,238.029,7,3,solid,,,,,,,93,144,93,Actinide
94,Pu,Plutonium,244,7,3,solid,,,,,,,94,150,94,Actinide
95,Am,Americium,243,7,3,solid,,,,,,,95,148,95,Actinide
97,Bk,Berkelium,247,7,3,solid,,,,,,,96,151,96,Actinide
96,Cm,Curium,247,7,3,solid,,,,,,,97,150,97,Actinide
98,Cf,Californium,251,7,3,solid,,,,,,,98,153,98,Actinide
99,Es,Einsteinium,252,7,3,solid,,,,,,,99,153,99,Actinide
100,Fm,Fermium,257,7,3,solid,,,,,,,100,157,100,Actinide
101,Md,Mendelevium,258,7,3,solid,,,,,,,101,157,101,Actinide
102,No,Nobelium,259,7,3,solid,,,,,,,102,157,102,Actinide
103,Lr,Lawrencium,266,7,3,solid,,,,,,,103,159,103,Actinide
104,Rf,Rutherfordium,261,7,3,solid,,,,,,,104,157,104,Transition Metal
105,Db,Dubnium,262,7,3,solid,,,,,,,105,157,105,Transition Metal
106,Sg,Seaborgium,263,7,3,solid,,,,,,,106,157,106,Transition Metal
107,Bh,Bohrium,262,7,3,solid,,,,,,,107,155,107,Transition Metal
108,Hs,Hassium,277,7,3,solid,,,,,,,108,157,108,Transition Metal
109,Mt,Meitnerium,278,7,3,solid,,,,,,,109,157,109,Unknown
110,Uun,Ununnilium,269,7,3,solid,,,,,,,110,151,110,Unknown
111,Uuu,Unununium,273,7,3,solid,,,,,,,111,161,111,Unknown
112,Uub,Ununbiium,277,7,3,solid,,,,,,,112,165,112,Unknown
113,Nh,Nihonium,286,7,3,solid,,,,,,,113,173,113,Unknown
114,Fl,Flerovium,289,7,3,solid,,,,,,,114,175,114,Unknown
115,Mc,Moscovium,290,7,3,solid,,,,,,,115,174,115,Unknown
116,Lv,Livermorium,293,7,3,solid,,,,,,,116,177,116,Unknown
117,Ts,Tennessine,294,7,3,solid,,,,,,,117,177,117,Unknown
118,Og,Oganesson,294,7,3,solid,,,,,,,118,176,118,Unknown